exp_name,dataset,alpha,lambda_scale,epoch,nfe,fid,status
fteqm_0.45,cifar10,0.45,auto,399,10,13.189217567443848,completed
fteqm_0.45,cifar10,0.45,auto,399,20,12.668356895446777,completed
fteqm_0.45,cifar10,0.45,auto,399,50,10.819256782531738,completed
fteqm_0.45,cifar10,0.45,auto,399,100,9.903985977172852,completed
fteqm_0.45,cifar10,0.45,auto,499,4,30.414705276489258,completed
fteqm_0.45,cifar10,0.45,auto,499,10,10.206620216369629,completed
fteqm_0.45,cifar10,0.45,auto,499,20,9.226901054382324,completed
fteqm_0.45,cifar10,0.45,auto,499,50,8.307361602783203,completed
fteqm_0.45,cifar10,0.45,auto,499,100,8.23001766204834,completed
fteqm_0.45,cifar10,0.45,auto,599,4,20.18190574645996,completed
fteqm_0.45,cifar10,0.45,auto,599,10,12.297052383422852,completed
fteqm_0.45,cifar10,0.45,auto,599,20,11.495711326599121,completed
fteqm_0.45,cifar10,0.45,auto,599,50,9.174596786499023,completed
fteqm_0.45,cifar10,0.45,auto,599,100,8.029004096984863,completed
fteqm_0.45,cifar10,0.45,auto,699,4,24.074935913085938,completed
fteqm_0.45,cifar10,0.45,auto,699,10,11.690382957458496,completed
fteqm_0.45,cifar10,0.45,auto,699,20,9.036865234375,completed
fteqm_0.45,cifar10,0.45,auto,699,50,5.937925338745117,completed
fteqm_0.45,cifar10,0.45,auto,699,100,5.114778995513916,completed
fteqm_0.45,cifar10,0.45,auto,799,4,33.140411376953125,completed
fteqm_0.45,cifar10,0.45,auto,799,10,7.696323394775391,completed
fteqm_0.45,cifar10,0.45,auto,799,20,6.446533679962158,completed
fteqm_0.45,cifar10,0.45,auto,799,50,5.6428446769714355,completed
fteqm_0.45,cifar10,0.45,auto,799,100,5.395952224731445,completed
fteqm_0.45,cifar10,0.45,auto,899,4,31.335691452026367,completed
fteqm_0.45,cifar10,0.45,auto,899,10,6.46915864944458,completed
fteqm_0.45,cifar10,0.45,auto,899,20,5.452854156494141,completed
fteqm_0.45,cifar10,0.45,auto,899,50,4.618377685546875,completed
fteqm_0.45,cifar10,0.45,auto,899,100,4.232781410217285,completed
fteqm_0.55,cifar10,0.55,auto,99,4,47.11103439331055,completed
fteqm_0.55,cifar10,0.55,auto,99,10,23.83020782470703,completed
fteqm_0.55,cifar10,0.55,auto,99,20,19.04196548461914,completed
fteqm_0.55,cifar10,0.55,auto,99,50,16.98725700378418,completed
fteqm_0.55,cifar10,0.55,auto,99,100,16.67554473876953,completed
fteqm_0.55,cifar10,0.55,auto,199,4,38.691314697265625,completed
fteqm_0.55,cifar10,0.55,auto,199,10,19.322826385498047,completed
fteqm_0.55,cifar10,0.55,auto,199,20,14.669780731201172,completed
fteqm_0.55,cifar10,0.55,auto,199,50,11.952495574951172,completed
fteqm_0.55,cifar10,0.55,auto,199,100,11.238303184509277,completed
fteqm_0.55,cifar10,0.55,auto,299,4,32.43525695800781,completed
fteqm_0.55,cifar10,0.55,auto,299,10,15.74444580078125,completed
fteqm_0.55,cifar10,0.55,auto,299,20,12.323983192443848,completed
fteqm_0.55,cifar10,0.55,auto,299,50,10.76766300201416,completed
fteqm_0.55,cifar10,0.55,auto,299,100,10.247139930725098,completed
fteqm_0.55,cifar10,0.55,auto,399,4,34.48750305175781,completed
fteqm_0.55,cifar10,0.55,auto,399,10,15.696977615356445,completed
fteqm_0.55,cifar10,0.55,auto,399,20,11.708760261535645,completed
fteqm_0.55,cifar10,0.55,auto,399,50,9.466084480285645,completed
fteqm_0.55,cifar10,0.55,auto,399,100,9.066810607910156,completed
fteqm_0.55,cifar10,0.55,auto,499,4,34.05856704711914,completed
fteqm_0.55,cifar10,0.55,auto,499,10,11.581738471984863,completed
fteqm_0.55,cifar10,0.55,auto,499,20,8.636948585510254,completed
fteqm_0.55,cifar10,0.55,auto,499,50,7.928630352020264,completed
fteqm_0.55,cifar10,0.55,auto,499,100,8.058656692504883,completed
fteqm_0.55,cifar10,0.55,auto,599,4,31.914039611816406,completed
fteqm_0.55,cifar10,0.55,auto,599,10,13.918451309204102,completed
fteqm_0.55,cifar10,0.55,auto,599,20,10.128421783447266,completed
fteqm_0.55,cifar10,0.55,auto,599,50,8.021793365478516,completed
fteqm_0.55,cifar10,0.55,auto,599,100,7.391506671905518,completed
fteqm_0.55,cifar10,0.55,auto,699,4,33.770179748535156,completed
fteqm_0.55,cifar10,0.55,auto,699,10,12.00317668914795,completed
fteqm_0.55,cifar10,0.55,auto,699,20,7.8605475425720215,completed
fteqm_0.55,cifar10,0.55,auto,699,50,5.722736358642578,completed
